filename,class_name,split,image_sha256,exclusion_reason
benign_1.png,benign,train,7592a8b7c4447328bb7ae039b8dbd5bc192ba1682a150e52f769591da681dc08,
benign_10.png,benign,validation,b9979fcd7ba9615db73a1b49d91bac15c564a2502f695a044f8864d7918f0575,
benign_101.png,benign,train,34b586bd6221dbd098e675de3d5fc8a1164c102e9f7b1e43755a35bed402c5c3,
benign_102.png,benign,train,dbb3d02d05b7a09a0007a2609acad12983e750e4bf8596316ecfd66e27e11678,
benign_103.png,benign,validation,59b535a656cca56fdbd8b151553ce2ce9702d0f77a942b0be9f4092a6ed2ad51,
benign_104.png,benign,train,21a0217fb1f671e651abe31a7c620bd3b67c33bab283091dec76ac05405372f8,
benign_105.png,benign,train,0228d13cf7c7029dd1b2377fb7e8fe14b9df028fac39183504c17e0103f23cb0,
benign_106.png,benign,train,3e7db3821be8e4d77fda4f4ee7d94f8e079a9a1e7b8b2e3d3774dc678dd3525b,
benign_107.png,benign,test,1c93f9e394bd23d576684296e80f800e82f2bcc64a94aff0b80a52447359e6d0,
benign_108.png,benign,train,88bf1c31f359900ddb1460ff45c627e0a12327f027ac87f9b2e160cad5bc702b,
benign_109.png,benign,train,9bdcbf620cd1b6b36ed6385d559efcc6ba65406c2cef8b57e3567348cbad5a23,
benign_11.png,benign,train,f6f626e5267993522d33e112eca8c4e71a47b0d19ec01a5a33b8626c2bdee66c,
benign_110.png,benign,train,e2701f74446b8efbef12014b2e84d5928bda8d8025b1b2db02492080cdc85b6d,
benign_111.png,benign,validation,4740b7c667df1a39e9a606239d9b068aec43c2ce49d2676f92e9e6779ad3f245,
benign_112.png,benign,test,f20f1e4c1d58db5fd901891c7d0c6842f981ec73a1f24ec08f1e5cd5fde56b2b,
benign_113.png,benign,train,1f826c95a64b5c229abca753ac3c7fbd6b1103af8777f7616e98640c08e4fddf,
benign_114.png,benign,train,8ed248eda946be7df28d1ded6218cd07014ff43109265c709567067488e52269,
benign_115.png,benign,train,c57be26dad045500ad75038b306066264c2d6546e75378c1a6295dedddda3244,
benign_116.png,benign,train,4135974fab652c15c1549ae277475a5bf2dd2a9ad2479ad31e53fd687ae5338a,
benign_117.png,benign,train,bf61adf193e372b8b43e7014a5913dad6254c8b844d6d9d7deb1793a83081d19,
benign_118.png,benign,validation,539bcbe5888982bff3186048cbdeb9cfcb43f312c56e3a1eb552ba08498b53e1,
benign_119.png,benign,validation,ffbcc8c4c3a1c78ff759ef1cb85ecb0cd51c23704d32b40f5c443ef3455b9cc5,
benign_12.png,benign,train,677618c1897c18a661f14e84c61173e771036988a9e31b17a5e4ae40f9b22b87,
benign_120.png,benign,train,2c3d6b5bcec05441dfe06ee77e36969eda03436ad52681c977d8a18c4e64002f,
benign_121.png,benign,train,d643cef502e4f571ad20ffb0993313ccf65f39fbf05c8bcf05565d5fde96972d,
benign_122.png,benign,train,84b8a9df7769caff844b42b23dbad2e38e70850494362c3b0cae888527659caf,
benign_123.png,benign,train,2b45d9a6e03c72a9c0dc43422e216ca5ebf601fde1e230d7f6c46c7501e25abc,
benign_124.png,benign,validation,319b1dbbabe1a6aa210471cca5d6c1e766962c97764c85b18662d46c73107387,
benign_125.png,benign,train,f59cd81de7ba6e6345ee64f83c755c645802bcce0c2346ae9d28d38f09c5d0c2,
benign_126.png,benign,train,603cd6c29b9dc4a967b797a8b3b298f947ce2bb8be916fc551497a1bcc0db9e8,
benign_127.png,benign,train,594bc9482e31e134eba61c88fff2763f5120a5b759e253b6761fe0abe25d8890,
benign_128.png,benign,train,678ef478d2761afb685e8bc872158a81de0c041bd5c874728e672d6823ca680c,
